artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,key_A,key_A#,key_B,key_C#,key_D,key_D#,key_E,key_F,key_F#,key_G,key_G#,mode_Major,mode_Minor
"Latto, Jung Kook",2,2023,7,14,553,147,141381703,125,80,89,83,31,0,8,4,False,False,True,False,False,False,False,False,False,False,False,True,False
Myke Towers,1,2023,3,23,1474,48,133716286,92,71,61,74,7,0,10,4,False,False,False,True,False,False,False,False,False,False,False,True,False
Olivia Rodrigo,1,2023,6,30,1397,113,140003974,138,51,32,53,17,0,31,6,False,False,False,False,False,False,False,True,False,False,False,True,False
Taylor Swift,1,2019,8,23,7858,100,800840817,170,55,58,72,11,0,11,15,True,False,False,False,False,False,False,False,False,False,False,True,False
Bad Bunny,1,2023,5,18,3133,50,303236322,144,65,23,80,14,63,11,6,True,False,False,False,False,False,False,False,False,False,False,False,True
"Dave, Central Cee",2,2023,6,1,2186,91,183706234,141,92,66,58,19,0,8,24,False,False,False,True,False,False,False,False,False,False,False,True,False
"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,725980112,148,67,83,76,48,0,8,3,False,False,False,False,False,False,False,True,False,False,False,False,True
Quevedo,1,2023,7,7,714,43,58149378,100,67,26,71,37,0,11,4,False,False,False,False,False,False,False,True,False,False,False,True,False
Gunna,1,2023,5,15,1096,83,95217315,130,85,22,62,12,0,28,9,False,False,False,True,False,False,False,False,False,False,False,False,True
"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44,553634067,170,81,56,48,21,0,8,33,False,False,False,False,True,False,False,False,False,False,False,False,True
"Bad Bunny, Grupo Frontera",2,2023,4,17,2876,40,505671438,83,57,56,72,23,0,27,5,False,False,False,False,False,False,False,False,True,False,False,False,True
NewJeans,1,2023,7,7,422,55,58255150,150,78,52,82,18,0,15,7,False,False,False,False,False,False,False,True,False,False,False,False,True
Miley Cyrus,1,2023,1,12,12211,115,1316855716,118,71,65,68,6,0,3,7,False,False,False,False,False,False,False,False,False,False,False,True,False
